accuracies,acc_m,statistical_parity_difference,disparate_impact,equal_opportunity_difference,average_odds_difference,average_predictive_value_difference,false_discovery_rate_difference,classifier,seed
0.843,0.843,-0.6622655399782345,0.19514140117477732,-0.28045112781954884,-0.36192573873494926,-0.38418389012456244,0.3076736720973896,DT,1
0.849,0.849,-0.6300185200740802,0.22256335330760044,-0.1843559977888336,-0.300179062158638,-0.33049075770955083,0.24597701149425283,DT,1
0.857,0.857,-0.657563529807369,0.1990579561744829,-0.2732953214090448,-0.3306085496512572,-0.34761537966809564,0.23872180451127822,DT,1
0.841,0.841,-0.6604234495076309,0.21043434130647107,-0.21999700643616227,-0.37064665136622926,-0.359269552613789,0.23996300728973996,DT,1
0.854,0.854,-0.6448415557797313,0.22999263855294985,-0.1877564979480164,-0.312306238430035,-0.3772529444330573,0.2831012831012831,DT,1
0.843,0.843,-0.6609488115830611,0.1880730334867981,-0.29528366370471637,-0.3618586347466366,-0.3906747398543936,0.3212426909978796,DT,1
0.848,0.848,-0.69842603820249,0.18683254123567233,-0.2746239038910193,-0.433892859189924,-0.3963321584742581,0.21974448315911732,DT,1
0.837,0.837,-0.6959935897435897,0.1793272864701436,-0.34661382283409814,-0.42980025542665773,-0.39027591031604014,0.34793278041810327,DT,1
0.82,0.82,-0.6672320814197245,0.16764482772387912,-0.40188074259693374,-0.4336009960454225,-0.4145051337263839,0.3082293523469994,DT,1
0.833,0.833,-0.6638666218659499,0.2176970793974018,-0.2161437596220206,-0.4052156144547449,-0.37149414808639314,0.1984588691569708,DT,1
0.889,0.889,-0.7857851610012163,0.12652327836188645,-0.3231829573934838,-0.47015791226317544,-0.16432384288105864,0.020318849640512657,LR,1
0.888,0.888,-0.7519750079000316,0.14764823765177412,-0.32071125852220383,-0.42258316780442995,-0.13149131124881291,0.07556561085972852,LR,1
0.895,0.895,-0.7418536132327745,0.14563778191675733,-0.3109687833580671,-0.39374619495238794,-0.18315412429654912,0.022384250820269777,LR,1
0.876,0.876,-0.7628818914665354,0.14705566301310982,-0.3138152971112109,-0.4684817226296795,-0.1962114126769243,0.06930827886710239,LR,1
0.897,0.897,-0.74196570110967,0.14752876893782596,-0.2900136798905608,-0.3833245969546262,-0.1866523325964815,0.05931656995486784,LR,1
0.888,0.888,-0.7602665129092191,0.14025936390639715,-0.31351105035315563,-0.4279065368340882,-0.20754248658978933,0.11988901869158879,LR,1
0.883,0.883,-0.7687680837525362,0.1475564785601129,-0.3247432356332628,-0.4755402027861642,-0.25505932244982266,0.08686808056555954,LR,1
0.891,0.891,-0.7608974358974359,0.12463126843657817,-0.3303434849116952,-0.41592241806389485,-0.17112879105695833,0.07947583390061268,LR,1
0.872,0.872,-0.7720151701845066,0.1292796939014926,-0.40716191092070164,-0.5020798187074156,-0.23422949423037995,0.08006613131790269,LR,1
0.873,0.873,-0.7518520296324741,0.15939928980957235,-0.33389074693422516,-0.4666996732214123,-0.20040260202495702,0.08654600207032842,LR,1
0.878,0.878,-0.7681966583445362,0.1250136716613803,-0.3723057644110276,-0.4683862738139054,-0.2155620742044177,0.08711177545258261,KN,1
0.883,0.883,-0.7100508402033608,0.157024950374683,-0.29086051225354714,-0.36605758201725735,-0.18777218029702591,0.10074680453827374,KN,1
0.887,0.887,-0.700477174104498,0.148920233463035,-0.25905386758311855,-0.3371051070906189,-0.21111597193063444,-0.014007936507936511,KN,1
0.863,0.863,-0.7287744632795512,0.16785327242547704,-0.28169435713216584,-0.4387638452327496,-0.2689197030062491,0.13919995023018542,KN,1
0.9,0.9,-0.7275624089286,0.15001122418437593,-0.27103283173734616,-0.3493613715360587,-0.1866055819180819,0.05222902097902096,KN,1
0.889,0.889,-0.7291466461656737,0.1434296680966358,-0.355434039644566,-0.37486293969364837,-0.22930080860222957,0.19590846047156724,KN,1
0.877,0.877,-0.7439640786140491,0.1460130646895069,-0.3369713871979835,-0.4387971357113817,-0.27347658446944745,0.10610328638497654,KN,1
0.876,0.876,-0.7275641025641025,0.13819286256643887,-0.3190446391322487,-0.39389575565860757,-0.24998399645431923,0.1562398307842499,KN,1
0.878,0.878,-0.747819686034789,0.1368623249972295,-0.36386171961307356,-0.4426677248599486,-0.22539442452690012,0.06853582554517133,KN,1
0.864,0.864,-0.726019616313861,0.15633831622787447,-0.3378722726548813,-0.44150984640115076,-0.2370805931946719,0.09089966832504145,KN,1
